id,class
1,1
2,1
3,3
4,2
5,5
6,3
7,2
8,5
9,4
10,5
11,5
12,2
13,5
14,4
15,5
16,2
17,5
18,3
19,4
20,5
21,1
22,2
23,3
24,4
25,5
26,5
27,2
28,3
29,4
30,3
31,2
32,2
33,3
34,4
35,5
36,1
37,2
38,5
39,4
40,3
41,2
42,5
43,5
44,4
45,2
46,1
47,2
48,5
49,4
50,5
51,2
52,2
53,3
54,4
55,5
56,2
57,2
58,3
59,3
60,4
61,2
62,2
63,3
64,4
65,3
66,2
67,2
68,5
69,4
70,5
71,2
72,2
73,3
74,4
75,5
76,2
77,2
78,3
79,4
80,5
81,1
82,1
83,3
84,2
85,3
86,3
87,2
88,3
89,4
90,5
91,4
92,5
93,3
94,4
95,2
96,4
97,2
98,3
99,4
100,2
101,1
102,2
103,3
104,4
105,4
106,1
107,2
108,3
109,2
110,3
111,2
112,1
113,3
114,4
115,5
116,1
117,2
118,5
119,2
120,3
121,2
122,2
123,3
124,4
125,5
126,1
127,2
128,3
129,4
130,5
131,2
132,2
133,3
134,4
135,2
136,1
137,2
138,3
139,4
140,5
141,2
142,2
143,5
144,4
145,5
146,2
147,5
148,3
149,2
150,5
151,2
152,4
153,5
154,5
155,5
156,2
157,2
158,3
159,4
160,5
161,2
162,2
163,5
164,4
165,5
166,1
167,2
168,3
169,4
170,5
171,2
172,2
173,2
174,4
175,5
