id,class
1,1
2,2
3,3
4,4
5,5
6,1
7,2
8,3
9,4
10,5
11,5
12,2
13,5
14,4
15,3
16,1
17,2
18,3
19,4
20,5
21,1
22,4
23,3
24,4
25,5
26,4
27,2
28,3
29,4
30,5
31,2
32,1
33,3
34,4
35,5
36,1
37,2
38,3
39,4
40,5
41,2
42,2
43,5
44,4
45,5
46,1
47,2
48,5
49,5
50,5
51,5
52,2
53,3
54,4
55,5
56,2
57,2
58,3
59,3
60,4
61,1
62,2
63,3
64,5
65,5
66,5
67,2
68,1
69,4
70,2
71,2
72,2
73,3
74,4
75,5
76,2
77,5
78,3
79,4
80,5
81,1
82,2
83,3
84,3
85,4
86,3
87,2
88,3
89,4
90,5
91,4
92,5
93,3
94,3
95,5
96,2
97,2
98,5
99,4
100,2
101,1
102,2
103,3
104,4
105,5
106,1
107,1
108,3
109,5
110,3
111,1
112,2
113,3
114,5
115,5
116,1
117,2
118,3
119,1
120,5
121,1
122,2
123,3
124,4
125,5
126,1
127,2
128,3
129,4
130,5
131,5
132,2
133,3
134,4
135,5
136,1
137,2
138,3
139,4
140,5
141,1
142,2
143,5
144,4
145,5
146,1
147,2
148,3
149,2
150,5
151,2
152,1
153,5
154,4
155,5
156,1
157,2
158,3
159,4
160,5
161,2
162,3
163,3
164,4
165,5
166,1
167,1
168,3
169,4
170,5
171,1
172,2
173,3
174,4
175,5
