id,class
1,1
2,2
3,3
4,4
5,5
6,5
7,2
8,3
9,4
10,5
11,3
12,2
13,5
14,4
15,5
16,1
17,2
18,3
19,4
20,5
21,1
22,2
23,3
24,4
25,5
26,3
27,2
28,3
29,4
30,3
31,2
32,1
33,3
34,4
35,3
36,1
37,2
38,3
39,4
40,5
41,2
42,3
43,3
44,4
45,5
46,1
47,2
48,3
49,5
50,5
51,2
52,2
53,2
54,2
55,5
56,1
57,2
58,2
59,3
60,4
61,1
62,2
63,3
64,4
65,5
66,1
67,1
68,3
69,4
70,5
71,2
72,2
73,3
74,4
75,5
76,2
77,5
78,3
79,4
80,5
81,1
82,2
83,3
84,3
85,4
86,5
87,2
88,3
89,4
90,5
91,2
92,5
93,3
94,4
95,4
96,2
97,2
98,5
99,4
100,5
101,2
102,2
103,3
104,4
105,5
106,1
107,2
108,3
109,4
110,3
111,1
112,1
113,3
114,5
115,4
116,1
117,2
118,3
119,4
120,5
121,1
122,2
123,3
124,4
125,5
126,1
127,2
128,3
129,4
130,5
131,2
132,2
133,3
134,4
135,5
136,2
137,2
138,3
139,4
140,5
141,1
142,2
143,5
144,4
145,5
146,1
147,2
148,3
149,5
150,5
151,2
152,2
153,2
154,4
155,5
156,2
157,2
158,3
159,4
160,5
161,2
162,2
163,3
164,4
165,5
166,1
167,1
168,3
169,4
170,5
171,4
172,2
173,2
174,4
175,5
